_input,_num,_widgetName,_source,_resultNumber,_pageUrl,description,date,city,parish,county
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,375,Scroll of Extraction,Scroll of Extraction,3,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Johane Harrison is executed in Hertfordshire on August 4 1606 after being found guilty of witchcraft.(24) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 24,1606 August 4,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,398,Scroll of Extraction,Scroll of Extraction,3,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,William Wicherely allegedly attempts to conjure a spirit named Ambrose Waterduke. An elderly priest who was present to witness the conjuration fled before the spirit could appear.() Appears in: Smith Thomas. An Examination taken by Sir Thomas Smith of Conjurer and his Comlice at 1549. Unknown: 1559,1540,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,430,Scroll of Extraction,Scroll of Extraction,3,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Elizabeth Weed alleged in her confession that the spirit in the form of a young man returned to her a week later at about 10 o'clock at night with a paper and asked if she was willing to seal their covenant. When she said she was he pricked her under her left arm to draw blood and had her sign with the blood. The spot pricked became a large lump. After she signed the spirit bedded her for the first time and the two puppy spirits joined them in bed to suckle from her.(1-2) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 1-2,1625,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,5,Scroll of Extraction,Scroll of Extraction,4,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis alleges in her confession that she kept Sathan for 15 or 16 years before tiring of him. At that time she gave Sathan to Mother Agnes Waterhouse in exchange for a cake. Francis also passed on the instructions her grandmother Eve of Hatfield Peverel had given her to give Sathan blood and feed him with milk and bread.(9 12-13) Appears in: Phillips John. The Examination and Confession of Certain Witches. London: 1566 9 12-13,1557,Hatfield Peverel,Hatfield Peverel,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,376,Scroll of Extraction,Scroll of Extraction,4,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Jane Stretton of Ware Hartford suffers from "strange and extraordinary fits." When medicine is applied to her "as it is usual for the Tooth-Ach" it does not help but rather causes her to be "more violently tortured still then before." It is believed that Jane Stretton suffers from "Witchcraft and such Diabolical means." This is further confirmed by the sightings of devils and imps (Anonymous 24) "sometimes in the shape of a Toad at other times it resembled a Frog" while at yet other times it is in the form of a mouse. These imps and devils torment Jane Stretton for nine months. She is also incapable of taking any sustenance safe "surrups and such like liquid ingredients." She is never dispossessed. (1) Appears in: Y. M.. The Hartford-shire Wonder. London: 1669 1,1669,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,399,Scroll of Extraction,Scroll of Extraction,4,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,A woman who appears like a gentlewoman mounts her horse and vanishes after the maid she frightens cries out "The Lord deliver me from all witches."(2-3) Appears in: Anonymous. Signs and Wonders from Heaven. With a True Relation of a Monster Born in Radcliffe Highway. London: 1645 2-3,1644 July 30,Soffam; Swaffham,Soffam; Swaffham,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,431,Scroll of Extraction,Scroll of Extraction,4,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,John Winnick is examined before Justice Robert Bernard and alleges in his confession that he was visited by a bear-like spirit about the size of a rabbit (Anonymous 130) around Midsummer 29 years before. He had lost a purse containing 7 shillings and was cursing the loss while working in the barn when Anonymous 130 appeared to him. Anonymous 130 offered to see that the purse was returned to him if he would renounce God and Christ and worship it instead; Winnick agreed and was instructed to return to the same place the next day.(3) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 3,1615 June 21,,Molesworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,6,Scroll of Extraction,Scroll of Extraction,5,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Mother Agnes Waterhouse is executed for witchcraft on July 29 1566. On the day of her execution she "bewayled repented and asked mercy of God and all the worlde forgyuenes and thus she yelded vp her sowle trusting to be in ioye with Christe her sauiour whiche dearely had bought her with his most precious bloudde."(38-40) Appears in: Phillips John. The Examination and Confession of Certain Witches. London: 1566 38-40,1566 July 29,,Chelnes-forde; Chelmesforde; Chelmifforde; Chensforde;Chelmes-forde,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,377,Scroll of Extraction,Scroll of Extraction,5,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,George Dell is executed in Hertfordshire on 4 August1606 after being found guilty of murdering Anthony James Jr. and participating in the mutilation of Elizabeth James.(24) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 24,1606 August 4,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,400,Scroll of Extraction,Scroll of Extraction,5,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Dorothy Durent gives deposition that troubled by her infant son William's fits she consulted with a Dr. Jacob in Yarmouth who has a reputation for helping bewitched children. He allegedly advised her to hang William's blanket in in the chimney corner all day to wrap the child in that blanket when she put him to bed at night and to not be afraid if she found anything in the blanket but rather to throw that thing into the fire.(8-9) Appears in: Anonymous. A Tryal of Witches. London: 1682 8-9,1662 March 10,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,432,Scroll of Extraction,Scroll of Extraction,5,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,John Winnick alleged in his confession that the day after the bear-like spirit (Anonymous 130) first appeared to him he returned to the barn and found his purse on the floor. When he picked it up Anonymous 130 appeared again and Winnick "fell downe upon his knees and said my Lord and God I thanke you." Anonymous 130 said that it had brought two other spirits with it one like a white cat (Anonymous 131) and one like a grey coney (Anonymous 132) and that Winnick was to worship them as well. Anonymous 130 promised that Winnick would never lack for food that Anonymous 131 would hurt anyone he desired and that Anonymous 132 would hurt any animal he desired. Anonymous 130 also said it must have Winnick's soul when he died and some blood to seal the covenant. When Winnick agreed Anonymous 130 pricked him on the head; thereafter all three would come to him daily to suck from his body.(3-4) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 3-4,1615 June 22,,Molesworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,7,Scroll of Extraction,Scroll of Extraction,6,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis alleges in her confession that she attempted to borrow yeast from her neighbor Alice Poole but when she was refused she left the house cursing. After this refusal a white-colored spirit in the shape of a little rugged dog appeared to Francis. She bid the spirit to go to Poole and plague her which the spirit agreed to do in exchange for a crust of white bread. Thereafter Poole was said to be grievously pained in her head.(6) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 6,1579,Hatfield Peverel,Hatfield Peverel,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,378,Scroll of Extraction,Scroll of Extraction,6,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,George and Annis Dell cut out Elizabeth James' tongue after tricking her into a false sense of security by kindly mentioning her mother and father (who they murdered). Elizabeth James begins to cry and make noise after her tongue is gone at which time Annis Dell threatens to kill her if she is not quiet.(6-7) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 6-7,1606,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,401,Scroll of Extraction,Scroll of Extraction,6,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Jane Walter is allegedly bewitched "for a long time" by a familiar (Anonymous 236) allegedly belonging to Teecle's wife. Her tongue was found "tied in her Head with a Hempenstring and run full of Pins and she had many strange Fits" allegedly as often as 20 times in a day. The toad would creep several times into Jane Walter's lap. Teecle's wife was suspected of being a witch for some time. When the toad was to be burned "it vanished away that none knew what became of it."(7) Appears in: Dirby Richard . Dreadful News from Wapping. Unknown: 1693 7,1693,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,433,Scroll of Extraction,Scroll of Extraction,6,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Elizabeth Chandler during her examination before Justices Robert Bernard and Nicholas Pedley alleges that she is a victim not a witch. She claims that she has been visited numerous times by a spirit in the night which makes a roaring and a puffing and leaves her sore at the bottom of her belly. Chandler adds that "she did never willingly invoke or imploy the same but hath prayed to God to deliver her therfrom."(7-8) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 7-8,1646 April 7,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,8,Scroll of Extraction,Scroll of Extraction,7,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis is executed in April 1579 having confessed to bewitching Alice Poole. (A4V-A5 A5-A5v) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 A4V-A5 A5-A5v,1579 April,,Chelnes-forde; Chelmesforde; Chelmifforde; Chensforde;Chelmes-forde,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,379,Scroll of Extraction,Scroll of Extraction,7,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Jane Stretton a twenty year old woman from Ware is unaware of a fight her father Thomas Stretton has had with a cunning man (Anonymous 487). She is visited by the cunning man's wife (Anonymous 322) who offers the young woman "a pot of drink." Innocently Jane Stretton drinks from this and is soon after "taken with violent rageing fits which torment her greviously." However she does not suspect her fits are caused by Anonymous 322 yet.(3-4) Appears in: Y. M.. The Hartford-shire Wonder. London: 1669 3-4,1669,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,402,Scroll of Extraction,Scroll of Extraction,7,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,John Ballard's daughter from Norfolk is bewitched for two years. She voids stones pins glass a buckle and other things from her mouth and suffers from "many strange Fits in a day." These were all presented before the Mayor and Alderman of the city of Norwich (Anonymous 101) by the John Ballard himself.(7-8) Appears in: Dirby Richard . Dreadful News from Wapping. Unknown: 1693 7-8,1693,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,434,Scroll of Extraction,Scroll of Extraction,7,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Joan Wallis alleges in her confession that Blackeman never lay with her but Edward Wingfield claimed in his deposition that she had confessed differently to him. According to Wingfield Blackeman had the use of her body as often as three times a week.(12) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 12,1646 April 14,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,9,Scroll of Extraction,Scroll of Extraction,8,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Ellen Smith's daughter allegedly has a falling out with the daughter of Widow Webbe of Maldon. The day after the falling out Ellen Smith strikes Widow Webbe's daughter Susan Webbe on the face causing the girl to sicken and die two days later. Susan Webbe is said to have cried "away with the witch away with the witch" as she languished on her sickbed.(8-9) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 8-9,1579,Maldon,Maldon All Saints,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,380,Scroll of Extraction,Scroll of Extraction,8,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Jane Stretton has a strange and violent fit shortly after giving her neighbour's wife (Anonymous 322) a pin. Anonymous 322 is the wife of a cunning man (Anonymous 487) who was in an argument with Jane Stretton's father Thomas Stretton. This fit is worse than any she experienced before. Her "body swells like a bladder puft up with wind ready to burst" and her limbs are completely distorted. She goes to her Neighbour's house where "her head being intoxicated by the violency of her fits she falls down against the door and beats it open" and lies on the floor. (4) Appears in: Y. M.. The Hartford-shire Wonder. London: 1669 4,1669,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,403,Scroll of Extraction,Scroll of Extraction,8,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Ann Burgess is allegedly bewitched for several years. She suffers up to twenty fits a day and vomits pins tobacco pipes nails quills and a bent farthing. This witnessed by many and evidence shown before the mayor of Norwich (Anonymous 101).(8) Appears in: Dirby Richard . Dreadful News from Wapping. Unknown: 1693 8,1693,Norwich,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,435,Scroll of Extraction,Scroll of Extraction,8,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Jane Wallis is examined before Justice Robert Osborne and confesses to having been visited six weeks before by a spirit in the shape of a man wearing black clothes. He greeted her introduced himself as Blackeman and asked if she was poor. When she replied to the affirmative he said he would send Grissell and Greedigut to her to do anything she asked of them. Wallis noticed then that he had ugly feet. To her terror he seemed to grow then shrink and vanished away. In his deposition Edward Wingfield added that Blackeman appeared ancient; Wingfield claimed Wallis had confessed to him.(12) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 12,1646 February,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,10,Scroll of Extraction,Scroll of Extraction,9,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Ellen Smith of Maldon is allegedly executed for witchcraft in April 1579.(1 9) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 1 9,1579 April,,Chelnes-forde; Chelmesforde; Chelmifforde; Chensforde;Chelmes-forde,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,381,Scroll of Extraction,Scroll of Extraction,9,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Jane Stretton continues having fits for a space of six months which "increased violently." She cannot eat and does not pass stool. People from all over come to see her and this "wonder." This great influx of people causes Thomas Stretton to move his daughter to the house of John Wood a neighbour in order "to purchase some quietness." However during this time friends and relations of Jane Stretton begin to suspect that her illness "proceeded from more then an ordinary cause."(5 - 6) Appears in: Y. M.. The Hartford-shire Wonder. London: 1669 5 - 6,1668,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,404,Scroll of Extraction,Scroll of Extraction,9,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Grace Brown is allegedly bewitched for several years. She vomited many things including pins. These were shown before the mayor of Norwich (Anonymous 101).(8) Appears in: Dirby Richard . Dreadful News from Wapping. Unknown: 1693 8,1693,Norwich,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,436,Scroll of Extraction,Scroll of Extraction,9,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,The Throckmorton family is visited by numerous neighbours during Jane Throckmorton's illness including Mother Alice Samuel. When Jane sees Mother Samuel she cries out "looke where the old witch sitteth (pointing to the said mother Samuell) did you euer see (said the Child) one more like a witch than she is: Take off her blacke-thrumbed cappe for I cannot abide to looke on her." Mistress Throckmorton rebukes her daughter and thinking she is overtired sends her to bed. However Mother Samuel is observed to look rueful at Jane's words.(3-4) Appears in: Anonymous. The Most Strange and Admirable Discouerie of the Three Witches of Warboys . Unknown: 1593 3-4,1589 November 13,Warboys,Warboys,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,11,Scroll of Extraction,Scroll of Extraction,10,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Mother Staunton allegedly came to Richard Saunder's home and was turned away when she tried to borrow yeast from Mrs. Saunder. Mother Staunton is said to have left the home murmuring and shortly after her departure the Saunders' baby became violently sick. When Mrs. Saunder picked up the infant to comfort it the cradle continued rocking of its own accord and would not stop until a visiting gentleman stabbed it repeatedly with his dagger.(11) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 11,1579,Wimbish,Wimbish,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,382,Scroll of Extraction,Scroll of Extraction,10,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Jane Stretton continues to suffer from fits that prevent her from eating. Flax and Hair seems to "fall down upon a white sheet that was laid over her bed." Her tongue is found to often "hang or loll out of her Mouth" which upon being seen seems to have flax hair and thread points to be placed on it. When these are removed "two flames in resemblance of fire the one of a red colour the other blew" and eleven pins all crooked and distorted come out of Jane Stretton's mouth. These events cause even more people to come and visit with Jane Stretton. (6) Appears in: Y. M.. The Hartford-shire Wonder. London: 1669 6,1668,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,405,Scroll of Extraction,Scroll of Extraction,10,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Elizabeth Bradwell allegedly created a wax image of John Moulton thrust a nail in the images head and buried the image as a means of slow languishing bewitchment(53-54) Appears in: Sterne John. A Confirmation and Discovery of Witchcraft Containing these Severall Particulars. London: 1648 53-54,1644,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,437,Scroll of Extraction,Scroll of Extraction,10,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Johane Harrison confesses that she has two spirits (Spirit 1 and Spirit 2) that help her with witchcraft one for men and the other for cattle. (19) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 19,1606 August 4,Hartford,Gadsden,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,12,Scroll of Extraction,Scroll of Extraction,11,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Mother Staunton allegedly came to William Corner's home and demanded various things including a piece of leather from Mrs. Corner which Mrs. Corner denied her. Staunton then demanded to know how many children she had to which Mrs. Corner replied that she had one. The child soon suffered from sweating and chills and started shrieking and staring and wringing and writhing until it was thought the child must surely die of it.(12) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 12,1579,Wimbish,Wimbish,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,383,Scroll of Extraction,Scroll of Extraction,11,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Elizabeth James regains the ability to speak four years after George and Annis Dell cut out her tongue. She is miraculously able to testify against Annis and George Dell at the Hartford Assizes. Her testimony leads to the Dells being convicted despite their vehement denial and consequently they are executed. (17-18) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 17-18,1606 August 4,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,406,Scroll of Extraction,Scroll of Extraction,11,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Matthew Hopkins looked for the wax image which Elizabeth Bradwell allegedly buried in a graveyard to bewitch John Moulton. The image is never found but child soon recovered and 'grew lusty again' (53-54) Appears in: Sterne John. A Confirmation and Discovery of Witchcraft Containing these Severall Particulars. London: 1648 53-54,1644,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,438,Scroll of Extraction,Scroll of Extraction,11,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Johane Harrison allegedly bewitches a Yeoman (Anonymous 122) after he calls her an old hag. The Yeoman suffers from hot sweats and cold chills and his body twitches as if he were possessed. (19-20) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 19-20,1606 August 4,Hartford,Gadsden,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,13,Scroll of Extraction,Scroll of Extraction,12,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Mother Staunton allegedly came to Robert Cornell's home twice to ask milk from Mrs. Cornell but Mrs. Cornell turned her away and barred the door both times due to the suspicion that Staunton was a witch. The second time she came to the house Staunton drew a circle in the dirt with a knife outside the front door marking it with the compass points. When asked she claimed to be digging a "shyting house" for herself. The next day Mrs. Cornell left the house through that door and is said to have taken sick with an illness that caused her to swell up as with child until she feared she would burst.(12-13) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 12-13,1579,Wimbish,Wimbish,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,384,Scroll of Extraction,Scroll of Extraction,12,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Mother Alice Samuel makes an official confession while at Buckden before the Right Reverend Father in God William Bishop of Lincoln on December 26 1592. During this confession she alleges that a dun chicken sucked on her chin twice but no longer since Christmas. It was no natural chicken "because when it came to her chin she scarce feele it but when she wiped it off with her hand her chin did bleed." This chicken first came to her in Robert Throckmorton's home and Mother Samuel identified it as the source of the Throckmorton children's trouble but it was now gone from both them and her. (59) Appears in: Anonymous. The Most Strange and Admirable Discouerie of the Three Witches of Warboys . Unknown: 1593 59,1592 December 26,Buckden,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,407,Scroll of Extraction,Scroll of Extraction,12,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Elizabeth Bradwell allegedly confessed to John Sterne that she has made and uses wax images; she remains anonymous in his text.(53-54) Appears in: Sterne John. A Confirmation and Discovery of Witchcraft Containing these Severall Particulars. London: 1648 53-54,1644,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,439,Scroll of Extraction,Scroll of Extraction,12,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Johane Harrison allegedly murders the baby of a woman (Anonymous 72) who accidentally sprinkled dirty laundry water on her while she was walking by.(20-21) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 20-21,1606 August 4,Hartford,Gadsden,Cambridgeshire
